Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,246.4903254,246.8541608,735.135,939.891,134529059.180727003002_+20dB.wav,867.188,867.188,flatws
2,489.1291629,489.8641264,1870.403,2101.576,134529059.180727004502_+20dB.wav,1992.188,2062.5,flatws
3,606.4439813,607.1982008,1155.867,1534.151,134529059.180727010002_+20dB.wav,1382.812,1406.25,flatws
4,606.5077805,606.6748177,1408.056,2416.813,134529059.180727010002_+20dB.wav,1757.812,1757.812,dws
5,607.7174703,608.2148599,1387.04,1555.166,134529059.180727010002_+20dB.wav,1476.562,1476.562,flatws
6,608.3134803,609.1079924,1260.946,1513.135,134529059.180727010002_+20dB.wav,1429.688,1429.688,flatws
7,608.4676832,608.8295971,1092.82,3005.254,134529059.180727010002_+20dB.wav,1453.125,1429.688,dws
8,627.1403933,627.6138022,1323.993,1555.166,134529059.180727010002_+20dB.wav,1406.25,1429.688,flatws
9,628.8765467,629.1025656,1575.985,2499.062,134529059.180727010002_+20dB.wav,1898.438,1875,dws
10,633.7659602,634.6998045,1555.166,1870.403,134529059.180727010002_+20dB.wav,1804.688,1734.375,flatws
11,642.3135871,642.5985915,1264.2,1954.466,134529059.180727010002_+20dB.wav,1617.188,1617.188,dws
12,642.9442352,643.19892,1218.914,1807.356,134529059.180727010002_+20dB.wav,1453.125,1453.125,dws
13,647.7471796,648.3194406,1345.009,1555.166,134529059.180727010002_+20dB.wav,1429.688,1429.688,flatws
14,732.4173748,733.990943,2703.4,3256.831,134529059.180727010002_+20dB.wav,2906.25,2882.812,dws.seq
15,797.4999896,797.7060021,588.441,1050.788,134529059.180727010002_+20dB.wav,890.625,960.938,nws
16,797.7713004,798.0476242,1408.056,1954.466,134529059.180727010002_+20dB.wav,1664.062,1664.062,dws
17,798.8389663,799.5888418,1281.961,1828.371,134529059.180727010002_+20dB.wav,1382.812,1453.125,flatws
18,801.1202703,801.4600929,1380.9,1912.434,134529059.180727010002_+20dB.wav,1640.625,1640.625,dws
19,801.551912,801.8906515,408.4,2508.9,134529059.180727010002_+20dB.wav,960.938,960.938,dws
20,806.4815241,807.2758981,1283.6,1702.277,134529059.180727010002_+20dB.wav,1406.25,1406.25,flatws
21,809.8816292,810.2428585,369.5,2555.957,134529059.180727010002_+20dB.wav,1054.688,1242.188,dws
22,813.1717338,813.6477518,336.252,2664.26,134529059.180727010002_+20dB.wav,796.875,773.438,dws
23,818.4884782,818.8326119,672.504,2685.921,134529059.180727010002_+20dB.wav,1734.375,2203.125,dws
24,819.8483192,820.3728487,1281.961,1471.103,134529059.180727010002_+20dB.wav,1382.812,1406.25,flatws
25,820.0605566,820.7821635,3026.27,4581.436,134529059.180727010002_+20dB.wav,3445.312,3140.625,dws
26,846.4811762,847.0200413,1387.04,1555.166,134529059.180727010002_+20dB.wav,1453.125,1453.125,flatws
27,851.0642889,851.4556875,1408.056,2119.9,134529059.180727010002_+20dB.wav,1640.625,1617.188,dws
28,853.1603979,853.7765157,1377.049,1857.923,134529059.180727010002_+20dB.wav,1617.188,1593.75,dws
29,865.7251187,866.1192738,590.164,1027.322,134529059.180727010002_+20dB.wav,796.875,890.625,modws
30,871.3694468,871.8964328,609.457,3034.483,134529059.180727010002_+20dB.wav,937.5,914.062,pulse.flat
31,879.7764509,880.1180271,1323.993,1828.371,134529059.180727010002_+20dB.wav,1429.688,1453.125,flatws
32,880.534531,880.9945819,369.5,3174.603,134529059.180727010002_+20dB.wav,1781.25,1875,dws
33,896.8395942,897.5451912,1239.93,1534.151,134529059.180727010002_+20dB.wav,1335.938,1335.938,flatws
34,915.7737227,916.0481446,700.2,1113.835,134529059.180727011502_+20dB.wav,890.625,867.188,dws
35,916.0567202,916.5155193,1283.6,1886.5,134529059.180727011502_+20dB.wav,1593.75,1664.062,dws
36,1480.913795,1481.242301,1092.82,1281.961,134529059.180727013002_+20dB.wav,1218.75,1218.75,flatws
37,1500.535268,1501.874844,480.874,6163.934,134529059.180727014502_+20dB.wav,984.375,867.188,pulse.d.seg
38,1513.300667,1513.679284,1134.851,1345.009,134529059.180727014502_+20dB.wav,1289.062,1289.062,flatws
39,1520.301784,1522.043783,546.448,7081.967,134529059.180727014502_+20dB.wav,960.938,796.875,pulse.d.seg
40,1522.407357,1523.535247,1450.088,1879.781,134529059.180727014502_+20dB.wav,1781.25,1710.938,flatws
41,1540.896796,1541.342732,714.536,945.709,134529059.180727014502_+20dB.wav,796.875,796.875,flatws
42,1541.737213,1542.444707,306.011,3344.262,134529059.180727014502_+20dB.wav,820.312,679.688,modws.t
43,1543.194815,1544.108125,289.7,3517.2,134529059.180727014502_+20dB.wav,773.438,679.688,modws.t
44,1545.604127,1546.025019,289.7,2751.7,134529059.180727014502_+20dB.wav,773.438,796.875,dws
45,1546.298478,1546.653776,677.596,1071.804,134529059.180727014502_+20dB.wav,867.188,914.062,modws
46,1546.671521,1546.920215,1427.6,1870.403,134529059.180727014502_+20dB.wav,1687.5,1476.562,dws
47,1547.386959,1547.658426,289.7,2819.672,134529059.180727014502_+20dB.wav,796.875,679.688,dws
48,1547.418901,1547.579595,3868.852,5420.765,134529059.180727014502_+20dB.wav,4101.562,4031.25,uws
49,1549.463199,1549.817938,393.1,2689.7,134529059.180727014502_+20dB.wav,890.625,914.062,dws
50,1561.284687,1561.896592,1281.961,1471.103,134529059.180727014502_+20dB.wav,1359.375,1359.375,flatws
51,1574.402693,1574.948453,777.583,966.725,134529059.180727014502_+20dB.wav,890.625,914.062,flatws
52,1575.377512,1576.509502,3846.995,4749.562,134529059.180727014502_+20dB.wav,4148.438,4171.875,uws.seq
53,1591.430254,1593.031122,502.732,5049.18,134529059.180727014502_+20dB.wav,960.938,820.312,pulse.d.seg
54,1601.753832,1602.10113,3715.847,4918.033,134529059.180727014502_+20dB.wav,4429.688,4664.062,dws.seq
55,1607.621185,1608.427299,1311.475,5923.497,134529059.180727014502_+20dB.wav,1429.688,1429.688,pulse.flat
56,1607.899894,1608.448738,620.7,5069,134529059.180727014502_+20dB.wav,1406.25,937.5,dws
57,1608.62454,1609.069157,284.153,4696.6,134529059.180727014502_+20dB.wav,867.188,679.688,dws
58,1609.91202,1610.502447,2837.128,3110.333,134529059.180727014502_+20dB.wav,3000,2976.562,flatws
59,1622.033191,1622.678172,1471.103,1639.229,134529059.180727014502_+20dB.wav,1593.75,1617.188,flatws.seg
60,1637.277214,1638.271155,2775.956,6146.341,134529059.180727014502_+20dB.wav,2976.562,2953.125,pulse.flat
61,1641.244436,1641.651588,568.306,939.891,134529059.180727014502_+20dB.wav,679.688,726.562,dws
62,1642.467461,1642.79822,590.164,945.591,134529059.180727014502_+20dB.wav,796.875,726.562,dws
63,1646.457866,1646.959079,310.3,3650.273,134529059.180727014502_+20dB.wav,867.188,890.625,dws.seg
64,1647.214642,1647.754883,672.504,903.678,134529059.180727014502_+20dB.wav,820.312,820.312,flatws
65,1650.089204,1650.539427,331,4158.6,134529059.180727014502_+20dB.wav,914.062,914.062,dws.seg
66,1651.621099,1652.019855,1387.04,1597.198,134529059.180727014502_+20dB.wav,1476.562,1453.125,flatws
67,1654.472094,1654.90177,372.4,2690.018,134529059.180727014502_+20dB.wav,820.312,796.875,dws
