file_name,selection,call_type,duration,min_freq,max_freq,bw,center_freq,peak_freq,min_prr,max_prr,start_freq,end_freq,trend,inflec,seg,steps,units
218.enc.11.csv,148,dws,1,509.2,968.4,459.2,843.8,750,0,0,968.4,509.2,1.9,0,1,0,1
218.enc.11.csv,149,flatws,0.8,2789.7,2944.6,155,2882.8,2882.8,0,0,2944.6,2789.7,1.1,0,1,0,1
218.enc.11.csv,153,modws,1.8,3099.6,4516.6,1417,3726.6,3726.6,0,0,4301,4103,1,4,1,0,1
218.enc.11.csv,154,dws,0.7,631.6,1463.4,831.8,960.9,984.4,0,0,1463.4,631.6,2.3,0,1,0,1
218.enc.11.csv,164,pulse.a,0.4,273.7,9094.7,8821.1,492.2,492.2,335.5,503.2,273.7,463,0.6,0,1,0,1
218.enc.11.csv,168,pulse.d,0.7,526.3,6998.2,6471.9,1101.6,984.4,616.9,1111.1,1831,526.3,3.5,0,1,0,1
218.enc.11.csv,170,pulse.d,0.5,709.5,7520.3,6810.8,1031.3,1031.3,944.3,1079.2,1368,709.5,1.9,0,1,0,1
218.enc.11.csv,171,pulse.d,0.4,851.4,5978.9,5127.6,1406.3,1406.3,1223.1,1474.9,1809,851.4,2.1,0,1,0,1
218.enc.11.csv,172,pulse.d,0.5,1368.4,7221.1,5852.6,1828.1,1804.7,1501.9,1884.1,1919,1368.4,1.4,0,1,0,1
218.enc.11.csv,183,modws,1,1600,2400,800,1898.4,1875,0,0,2207,1600,1.4,10,1,0,1
218.enc.11.csv,187,nws,0.4,553.5,1284.1,730.6,773.4,750,0,0,651,553.5,1.2,1,1,0,1
218.enc.11.csv,191,modws.seg,0.7,1497.4,2789.7,1292.2,1875,1734.4,0,0,1497.4,1902,0.8,6,5,0,1
218.enc.11.csv,195,flatws,1,642.1,841.3,199.3,796.9,796.9,0,0,746,694,1.1,0,1,0,1
218.enc.11.csv,199,modws.m.seg,1.2,553.5,1284.1,730.6,820.3,679.7,0,0,651,553.5,1.2,3,3,0,1
218.enc.11.csv,200,modws.seg,1.9,694.7,1936.8,1242.1,914.1,867.2,0,0,809,872,0.9,8,5,0,1
218.enc.11.csv,205,dws.seq,2,730.6,1594.1,863.5,914.1,867.2,0,0,1594.1,862,1.8,0,1,0,14
218.enc.11.csv,209,flatws,0.7,797,929.9,132.8,890.6,890.6,0,0,893,797,1.1,0,1,0,1
218.enc.11.csv,214,dws,0.2,509.2,1148.7,639.5,726.6,679.7,0,0,1148.7,509.2,2.3,0,1,0,1
218.enc.11.csv,226,pulse.flat.seg.2,1.2,589.5,5130.6,4541.1,984.4,960.9,967.7,1548.4,967,1419,0.7,0,3,0,1
218.enc.11.csv,227,modws.t,0.9,752.8,1704.8,952,960.9,937.5,0,0,1545,883,1.7,10,1,0,1
218.enc.11.csv,229,flatws,0.9,6575.6,6730.6,155,6656.3,6656.3,0,0,6730.6,6575.6,1,0,1,0,1
218.enc.11.csv,230,dws.seq,0.7,531.4,1350.6,819.2,843.8,703.1,0,0,1350.6,531.4,2.5,0,1,0,12
218.enc.11.csv,233,modws,1,2009.8,3414.6,1404.9,2695.3,2578.1,0,0,2774,2009.8,1.4,10,1,0,1
218.enc.11.csv,235,flatws.seg,0.7,929.9,1084.9,155,1007.8,1007.8,0,0,981,981,1,0,8,0,1
218.enc.11.csv,236,pulse.d,1.1,517.8,4589.5,4071.7,960.9,1007.8,741.9,885.8,904,517.8,1.7,0,1,0,1
218.enc.11.csv,237,modws,1.2,1600,3648.8,2048.8,3093.8,3093.8,0,0,2690,1600,1.7,15,1,0,1
218.enc.11.csv,238,aws,0.3,730.6,1217.7,487.1,960.9,1007.8,0,0,730.6,1217.7,0.6,0,1,0,1
218.enc.11.csv,243,modws,1.6,4538.7,6989.5,2450.7,5226.6,5390.6,0,0,5527,6305,0.9,6,1,0,1
218.enc.11.csv,245,dws,0.7,819.2,2302.6,1483.4,1265.6,960.9,0,0,2302.6,819.2,2.8,0,1,0,1
218.enc.11.csv,250,pulse.flat.seg.2,0.9,673.7,2524.1,1850.4,960.9,937.5,912.5,1147.5,877,1560,0.6,0,3,0,1
218.enc.11.csv,255,flatws,0.3,597.8,752.8,155,679.7,679.7,0,0,669,639,1,0,1,0,1
218.enc.11.csv,256,pulse.flat.seg.2,1,686.3,3284.2,2597.9,1007.8,1054.7,1050.7,1271.9,1025,1650,0.6,0,3,0,1
218.enc.11.csv,258,pulse.flat.seg.2,1.2,686.3,3343.2,2656.8,1007.8,1007.8,995.4,1645.1,1055,1635,0.6,0,3,0,1
218.enc.11.csv,259,flatws.seg,1.1,1483.4,1704.8,221.4,1593.8,1570.3,0,0,1650,1704.8,1,0,3,0,1
218.enc.11.csv,262,modws.seg,0.6,562.9,1904.8,1341.9,890.6,890.6,0,0,1904.8,562.9,3.4,6,7,0,1
218.enc.11.csv,263,flatws.seg,0.7,1461.3,1704.8,243.5,1546.9,1523.4,0,0,1620,1516,1.1,0,4,0,1
218.enc.11.csv,269,dws.seq,0.5,398.5,1262,863.5,679.7,515.6,0,0,1262,398.5,3.2,0,1,0,5
218.enc.11.csv,270,dws.seq,0.6,332.1,1206.3,874.2,703.1,585.9,0,0,1206.3,332.1,3.6,0,1,0,8
218.enc.11.csv,273,aws,0.2,746.3,1306.3,560,843.8,820.3,0,0,746.3,1306.3,0.6,0,1,0,1
218.enc.11.csv,274,dws,0.2,608.8,1296.2,687.4,867.2,843.8,0,0,1296.2,608.8,2.1,0,1,0,1
218.enc.11.csv,279,flatws,1.1,730.6,885.6,155,843.8,843.8,0,0,730.6,790,0.9,0,1,0,1
218.enc.11.csv,282,modws,0.6,2231.6,3410.5,1178.9,2742.2,2718.8,0,0,3106,2231.6,1.4,8,1,0,1
218.enc.11.csv,295,pulse.flat.seg.2,1.5,730.3,2269.7,1539.5,984.4,984.4,1050.7,1576,951,1664,0.6,0,3,0,1
218.enc.11.csv,297,modws.seg.t,0.9,265.7,1749.1,1483.4,867.2,843.8,0,0,1019,265.7,3.8,12,9,0,1
218.enc.11.csv,299,modws.t,1.3,641.1,1923.2,1282.1,843.8,843.8,0,0,1545,773,2,15,1,0,1
218.enc.11.csv,302,modws.seg.t,0.9,701.2,1970.5,1269.3,820.3,843.8,0,0,1129,788,1.4,11,6,0,1
218.enc.11.csv,303,flatws,0.8,487.1,686.3,199.3,585.9,585.9,0,0,686.3,535,1.3,0,1,0,1
218.enc.11.csv,304,dws.seq,1.4,1350.6,2634.7,1284.1,1476.6,1476.6,0,0,2418,1350.6,1.8,0,1,0,10
218.enc.11.csv,318,flatws,0.6,575.6,752.8,177.1,679.7,656.3,0,0,624,684,0.9,0,1,0,1
218.enc.11.csv,325,modws,1.2,400,1527.7,1127.7,914.1,937.5,0,0,921,400,2.3,4,1,0,1
218.enc.11.csv,326,modws.seg,2.3,631.6,1306.3,674.7,914.1,773.4,0,0,788,921,0.9,8,4,0,1
218.enc.11.csv,328,flatws,0.7,774.9,952,177.1,867.2,867.2,0,0,820,774.9,1.1,0,1,0,1
218.enc.11.csv,336,flatws,0.7,531.4,664.2,132.8,585.9,585.9,0,0,567,567,1,0,1,0,1
218.enc.11.csv,342,dws,0.3,463.2,1502.5,1039.3,914.1,937.5,0,0,1502.5,463.2,3.2,0,1,0,1
218.enc.11.csv,344,dws.seg,0.8,686.3,3099.6,2413.3,820.3,796.9,0,0,3099.6,686.3,4.5,0,3,0,1
218.enc.11.csv,348,pulse.flat.seg.2,0.9,736.8,2252.6,1515.8,1007.8,960.9,1023,1603.7,1009,1618,0.6,0,3,0,1
218.enc.11.csv,349,dws.seq.t,0.9,464.9,1602.7,1137.7,656.3,656.3,0,0,1156,464.9,2.5,0,1,0,3
218.enc.11.csv,351,dws.seq.t,0.6,495.3,1141.9,646.6,726.6,843.8,0,0,1141.9,495.3,2.3,0,1,0,3
218.enc.11.csv,355,flatws,0.6,487.1,664.2,177.1,585.9,585.9,0,0,664.2,546,1.2,0,1,0,1
218.enc.11.csv,359,modws.m.seg,1,597.8,1500,902.2,890.6,890.6,0,0,925,597.8,1.5,3,3,0,1
218.enc.11.csv,363,modws,2,1284.1,2125.5,841.3,1710.9,1453.1,0,0,1849,1702,1.1,8,1,0,1
218.enc.11.csv,365,modws,1.3,568.4,1594.1,1025.7,914.1,726.6,0,0,967,568.4,1.7,5,1,0,1
218.enc.11.csv,377,flatws.seg,0.6,664.2,885.6,221.4,796.9,796.9,0,0,778,778,1,0,4,0,1
