Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,535.6532393,535.9288722,1559.792,2038.128,201875479.190224203002_+20dB.wav,1734.375,1734.375,dws
2,653.7899615,654.3357145,1622.184,2225.303,201875479.190224204002_+20dB.wav,1851.562,1945.312,dws
3,729.2440327,730.0982852,1788.562,2641.248,201875479.190224204002_+20dB.wav,1968.75,1968.75,dws.seg
4,733.7986181,734.8059448,1871.75,3452.34,201875479.190224204002_+20dB.wav,2367.188,2015.625,dws.seg
5,734.1258658,734.4676505,1600,1743.59,201875479.190224204002_+20dB.wav,1687.5,1687.5,flatws
6,814.729859,815.4299664,1954.939,2441.026,201875479.190224204002_+20dB.wav,2156.25,2203.125,dws
7,817.8284752,818.2460681,1743.59,2174.359,201875479.190224204002_+20dB.wav,1875,1945.312,dws
8,822.3551607,822.9900503,1643.527,2058.925,201875479.190224204002_+20dB.wav,1898.438,1921.875,dws
9,922.7725457,923.0441289,943.59,1087.179,201875479.190224205002_+20dB.wav,1007.812,984.375,flatws
10,943.5253541,945.1026216,1206.239,2433.276,201875479.190224205002_+20dB.wav,1664.062,1593.75,modws.seg
11,974.6747325,975.3058278,1476.603,2225.303,201875479.190224205002_+20dB.wav,1757.812,1757.812,dws
12,978.0994089,978.3915797,1125.704,1666.041,201875479.190224205002_+20dB.wav,1359.375,1406.25,uws
13,1029.016737,1029.330981,1518.198,2100.52,201875479.190224205002_+20dB.wav,1710.938,1664.062,dws
14,1057.477371,1057.791592,943.59,1107.692,201875479.190224205002_+20dB.wav,1031.25,1031.25,flatws
15,1057.824668,1058.100301,1456.41,1702.564,201875479.190224205002_+20dB.wav,1593.75,1593.75,flatws
16,1095.97574,1096.786101,707.106,1666.041,201875479.190224205002_+20dB.wav,914.062,890.625,modws
17,1115.907569,1116.386408,1169.231,1353.846,201875479.190224205002_+20dB.wav,1265.625,1265.625,flatws
18,1116.405779,1116.747193,1598.499,2093.809,201875479.190224205002_+20dB.wav,1851.562,1875,dws
19,1175.922338,1176.929665,1497.4,2329.289,201875479.190224205002_+20dB.wav,1992.188,1875,modws
20,1177.803669,1178.440655,1107.692,1372.617,201875479.190224205002_+20dB.wav,1195.312,1171.875,flatws
21,1178.425841,1178.751741,1538.995,2225.303,201875479.190224205002_+20dB.wav,1921.875,1945.312,dws
22,1519.259547,1519.561643,1393.414,2142.114,201875479.190224211002_+20dB.wav,1687.5,1546.875,uws
23,1703.438996,1703.725654,1538.995,2183.709,201875479.190224211002_+20dB.wav,1898.438,1945.312,dws
24,1815.040433,1815.619262,717.949,923.077,201875479.190224212002_+20dB.wav,820.312,796.875,flatws
25,1886.984633,1887.368709,1372.617,1767.764,201875479.190224212002_+20dB.wav,1570.312,1570.312,dws
26,1973.13305,1973.436246,1497.436,1705.373,201875479.190224212002_+20dB.wav,1593.75,1593.75,flatws
27,3056.719732,3057.14531,1907.692,2092.308,201875479.190224220002_+20dB.wav,1992.188,1992.188,flatws
28,3405.504692,3406.119215,1185.442,2953.206,201875479.190224221002_+20dB.wav,2062.5,2132.812,dws.seg
