Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,29.56722524,30.46027554,3064.286,4088.586,201875479.190326023002_+20dB.wav,3585.938,3515.625,dws
2,590.6107898,591.9558779,6139,7358.3,201875479.190326024002_+20dB.wav,6703.125,6632.812,modws
3,593.5490356,594.8004085,7593.6,8641.7,201875479.190326024002_+20dB.wav,8484.375,8484.375,modws
4,740.9757398,741.6372585,2880.829,3585.492,201875479.190326025002_+20dB.wav,3281.25,3210.938,modws
5,832.0606184,832.6229093,2807.143,3514.286,201875479.190326025002_+20dB.wav,3140.625,3046.875,dws
6,886.3270971,887.1495828,2673.575,3399.625,201875479.190326025002_+20dB.wav,3046.875,2929.688,modws
7,925.039662,926.5997437,2571.429,3593.6,201875479.190326030002_+20dB.wav,3046.875,2742.188,modws
8,930.9004304,931.3690062,1740.933,2196.891,201875479.190326030002_+20dB.wav,2015.625,1921.875,dws
9,937.3530845,937.7094305,817.717,1001.704,201875479.190326030002_+20dB.wav,937.5,937.5,flatws
10,1843.191828,1844.283334,373.057,940.375,201875479.190326033002_+20dB.wav,679.688,679.688,dws
11,1854.260168,1854.612978,838.16,1114.286,201875479.190326033002_+20dB.wav,1007.812,937.5,flatws
12,1879.351983,1879.68136,776.831,1001.704,201875479.190326033002_+20dB.wav,890.625,914.062,flatws
13,1879.853095,1880.393182,1410.562,1594.549,201875479.190326033002_+20dB.wav,1500,1476.562,flatws
14,1914.552339,1915.583206,4129.472,4538.33,201875479.190326033002_+20dB.wav,4406.25,4242.188,trill
15,1922.54572,1923.339543,2881.801,6213.884,201875479.190326033002_+20dB.wav,3609.375,3023.438,pulse.flat
16,1924.298745,1925.26346,2814.259,6101.313,201875479.190326033002_+20dB.wav,4148.438,3000,pulse.flat
17,1928.736466,1929.767333,2850,7842.857,201875479.190326033002_+20dB.wav,3117.188,3164.062,pulse.flat
18,1950.365466,1950.800736,4307.143,7371.429,201875479.190326033002_+20dB.wav,6046.875,7242.188,modws.seg
19,1952.986498,1953.248703,2807.143,3657.8,201875479.190326033002_+20dB.wav,3398.438,3421.875,dws
20,1975.591506,1975.81036,4200,4684.5,201875479.190326033002_+20dB.wav,4476.562,4570.312,dws
21,1977.184664,1978.313106,4068.143,4395.23,201875479.190326033002_+20dB.wav,4289.062,4289.062,trill
22,1977.210563,1978.151539,3106.942,4564.286,201875479.190326033002_+20dB.wav,4195.312,3187.5,modws
23,1978.750258,1979.830739,4189.474,4526.316,201875479.190326033002_+20dB.wav,4382.812,4382.812,trill
24,1979.036916,1980.133935,2884.211,3058.8,201875479.190326033002_+20dB.wav,2976.562,2976.562,flatws
25,2134.541335,2134.888632,673.684,968.421,201875479.190326034002_+20dB.wav,867.188,867.188,flatws
26,2134.999991,2135.393693,557.143,1071.429,201875479.190326034002_+20dB.wav,914.062,937.5,dws
27,2136.569992,2136.962126,1478.571,1705.263,201875479.190326034002_+20dB.wav,1593.75,1593.75,flatws
28,2137.283334,2137.724346,675.422,6011.257,201875479.190326034002_+20dB.wav,984.375,843.75,pulse.n
29,2141.7216,2142.670872,1435.714,7778.571,201875479.190326034002_+20dB.wav,3023.438,2976.562,pulse.flat
30,2146.176706,2146.399969,2715.789,3052.632,201875479.190326034002_+20dB.wav,2906.25,2906.25,nws.seq
31,2146.603937,2146.953991,2673.684,2989.474,201875479.190326034002_+20dB.wav,2835.938,2812.5,nws.seq
32,2147.121372,2147.452886,2568.421,3052.632,201875479.190326034002_+20dB.wav,2789.062,2812.5,nws.seq
33,2171.902935,2172.765007,1350,7607.143,201875479.190326034002_+20dB.wav,2179.688,1546.875,pulse.flat
34,2172.733822,2172.939314,535.714,985.714,201875479.190326034002_+20dB.wav,796.875,773.438,dws
