Call_type,number
aws,17
aws.seg,2
aws.seq,6
c.5,4
dottrill,1
dws,120
dws.seg,12
dws.seq,20
dws.seq.t,2
flatws,110
flatws.seg,17
modws,59
modws.m,3
modws.m.seg,2
modws.sa,3
modws.sa.seq,7
modws.seg,28
modws.seg.t,3
nws,5
nws.seg,1
nws.seq,4
pulse.a,16
pulse.d,30
pulse.d.bc,11
pulse.d.seg,4
pulse.flat,68
pulse.flat.bc,3
pulse.flat.seg,32
pulse.flat.seg.2,2
pulse.flat.seg.3,12
pulse.flat.seg.4,6
pulse.mod,13
pulse.mod.bc,4
pulse.n,10
rws,1
trill,30
uws,15
uws.seq,3
