Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,257.8463216,258.4532233,1052.632,1200,201875479.190212160002_+20dB.wav,1125,1125,flatws
2,259.1937548,259.6057798,968.421,1115.789,201875479.190212160002_+20dB.wav,1054.688,1054.688,flatws
3,347.3897534,347.5790622,1494.737,1831.579,201875479.190212161002_+20dB.wav,1687.5,1687.5,dws
4,354.4665613,355.0344877,1136.842,1494.737,201875479.190212161002_+20dB.wav,1335.938,1335.938,aws
5,461.4801378,461.9983275,526.316,694.737,201875479.190212161002_+20dB.wav,609.375,609.375,flatws
6,518.350778,518.6792845,1115.789,1263.158,201875479.190212161002_+20dB.wav,1195.312,1195.312,flatws
7,598.6013338,598.9131365,968.421,1389.474,201875479.190212161002_+20dB.wav,1148.438,1171.875,uws
8,645.1316723,645.635441,1242.105,1389.474,201875479.190212162002_+20dB.wav,1312.5,1312.5,flatws
9,685.6843018,686.0462157,778.947,1242.105,201875479.190212162002_+20dB.wav,984.375,960.938,uws
10,735.9454395,736.2486355,610.526,1103.189,201875479.190212162002_+20dB.wav,820.312,843.75,dws
11,911.4231608,911.7460993,1010.526,1178.947,201875479.190212163002_+20dB.wav,1101.562,1078.125,flatws
12,1050.190206,1050.530693,803.8,1305.816,201875479.190212163002_+20dB.wav,1125,1171.875,dws
13,1203.409597,1203.800995,863.158,1073.684,201875479.190212164002_+20dB.wav,937.5,937.5,flatws
14,1315.669229,1316.146636,2105.263,3084.428,201875479.190212164002_+20dB.wav,2414.062,2203.125,dws
15,1317.442132,1318.042995,1981.238,3196.998,201875479.190212164002_+20dB.wav,2343.75,2156.25,dws
16,1319.873213,1320.292158,1981.238,2724.203,201875479.190212164002_+20dB.wav,2296.875,2367.188,dws
17,1381.240384,1381.524268,841.026,1801.126,201875479.190212164002_+20dB.wav,1007.812,960.938,dws
18,1384.208932,1385.895805,720.45,2161.351,201875479.190212164002_+20dB.wav,867.188,867.188,dws.seq.t
19,1391.546756,1391.797312,1494.737,1789.474,201875479.190212164002_+20dB.wav,1593.75,1593.75,uws
20,1393.779795,1394.150676,1130.4,1778.612,201875479.190212164002_+20dB.wav,1242.188,1171.875,dws
21,1394.101297,1394.928315,738.462,1553.471,201875479.190212164002_+20dB.wav,960.938,960.938,dws.seq
22,1420.55677,1421.036878,1005.128,1242.105,201875479.190212164002_+20dB.wav,1101.562,1078.125,flatws
23,1421.056221,1421.453132,1472.924,2014.44,201875479.190212164002_+20dB.wav,1617.188,1593.75,dws
24,1424.108531,1424.414458,800,1191.336,201875479.190212164002_+20dB.wav,984.375,960.938,aws
25,1446.098704,1446.37645,821.053,1136.842,201875479.190212164002_+20dB.wav,984.375,960.938,uws
26,1454.909792,1455.305113,947.368,1200,201875479.190212164002_+20dB.wav,1054.688,1054.688,flatws
27,1465.88083,1466.237176,842.105,1263.158,201875479.190212164002_+20dB.wav,984.375,984.375,nws
28,1470.80928,1471.843568,1031.579,1221.053,201875479.190212164002_+20dB.wav,1101.562,1148.438,flatws.seg
29,1485.276453,1486.149614,863.158,1052.632,201875479.190212164002_+20dB.wav,960.938,960.938,flatws.seg
30,1487.077312,1487.462389,737.9,1305.816,201875479.190212164002_+20dB.wav,937.5,937.5,uws
31,1487.434456,1488.111827,819.8,1311.7,201875479.190212164002_+20dB.wav,1031.25,1054.688,modws
32,1488.223335,1488.669247,1536.842,1726.316,201875479.190212164002_+20dB.wav,1640.625,1664.062,flatws
33,1499.572383,1499.895321,736.842,1768.421,201875479.190212165002_+20dB.wav,960.938,843.75,dws
34,1499.917593,1500.240531,1052.632,1200,201875479.190212165002_+20dB.wav,1125,1125,flatws
35,1531.268086,1531.789501,1515.789,1747.368,201875479.190212165002_+20dB.wav,1593.75,1593.75,flatws
36,1662.939932,1663.268143,947.368,1094.737,201875479.190212165002_+20dB.wav,1031.25,1031.25,flatws
37,1663.379258,1663.704505,1494.737,1981.238,201875479.190212165002_+20dB.wav,1640.625,1640.625,dws
38,1664.650819,1665.027912,926.316,1073.684,201875479.190212165002_+20dB.wav,984.375,984.375,flatws
39,1664.986013,1665.495787,1515.789,1705.263,201875479.190212165002_+20dB.wav,1640.625,1640.625,flatws
40,1667.434244,1668.045307,1418.386,1823.64,201875479.190212165002_+20dB.wav,1617.188,1593.75,modws
