Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,79.4542262,80.58983338,2617.8,4679.785,201875479.190414183002_+20dB.wav,3656.25,3679.688,dws
2,393.5611759,395.3362512,1340.3,10869.1,201875479.190414184002_+20dB.wav,3890.625,3914.062,pulse.mod
3,400.0247965,401.860511,1382.2,10617.8,201875479.190414184002_+20dB.wav,3843.75,3843.75,pulse.mod
4,521.1493784,522.4117767,1507.9,10429.3,201875479.190414184002_+20dB.wav,4218.75,5250,pulse.mod
5,605.1763842,606.5545482,774.9,1459.75,201875479.190414185002_+20dB.wav,937.5,843.75,modws
6,754.0104753,755.5099178,774.9,1530.957,201875479.190414185002_+20dB.wav,890.625,867.188,modws
7,1039.749171,1040.57607,3241.503,4679.785,201875479.190414190002_+20dB.wav,3750,3773.438,modws.m
8,3019.807061,3020.176409,1485.929,10446.529,201875479.190414201002_+20dB.wav,1710.938,1710.938,pulse.flat
9,3020.625695,3021.458106,1801,11267,201875479.190414201002_+20dB.wav,3492.188,3187.5,pulse.d
10,3034.115227,3034.683031,963.4,11539.3,201875479.190414201002_+20dB.wav,1359.375,1335.938,pulse.d
11,3057.364948,3058.081594,2031.4,11539.3,201875479.190414201002_+20dB.wav,5062.5,5132.812,pulse.flat
12,3058.147745,3058.715549,5801,10240.8,201875479.190414201002_+20dB.wav,8460.938,9515.625,aws.seg
13,3061.323037,3062.271214,586.4,5780.1,201875479.190414201002_+20dB.wav,914.062,914.062,pulse.flat
14,3061.510468,3063.070549,963.4,12000,201875479.190414201002_+20dB.wav,3445.312,1335.938,pulse.a
15,3061.830202,3063.054012,816.8,1654.5,201875479.190414201002_+20dB.wav,890.625,890.625,nws.seq
16,3062.451034,3063.125676,3363.322,4380.623,201875479.190414201002_+20dB.wav,3820.312,3703.125,modws
17,3066.609675,3067.651567,2638.7,12000,201875479.190414201002_+20dB.wav,4453.125,4078.125,pulse.a
18,3067.827972,3069.151009,1307.958,11371.7,201875479.190414201002_+20dB.wav,4289.062,3257.812,pulse.d
19,3087.08653,3087.97958,733,3057.6,201875479.190414201002_+20dB.wav,1687.5,1804.688,pulse.flat
20,3097.383064,3098.781682,439.8,12000,201875479.190414201002_+20dB.wav,1734.375,1710.938,pulse.flat.seg
21,3232.615745,3233.481233,697.936,892.734,201875479.190414201002_+20dB.wav,796.875,820.312,flatws
22,3249.729827,3250.848896,523.6,11623,201875479.190414201002_+20dB.wav,1757.812,1757.812,pulse.d.bc
23,3251.394649,3252.06168,670.2,11685.9,201875479.190414201002_+20dB.wav,1757.812,1710.938,pulse.d.bc
24,3260.32855,3261.475183,691.1,10387.4,201875479.190414201002_+20dB.wav,960.938,843.75,pulse.mod
25,3266.833484,3267.500516,691.1,11141.4,201875479.190414201002_+20dB.wav,937.5,937.5,pulse.n
26,3299.319734,3301.287752,1148.218,11279.55,201875479.190414202002_+20dB.wav,1710.938,1734.375,pulse.d.bc
27,3301.90517,3302.417847,1260.788,8127.58,201875479.190414202002_+20dB.wav,2812.5,2929.688,pulse.d
28,3327.49777,3328.958624,652.908,10604.128,201875479.190414202002_+20dB.wav,937.5,914.062,pulse.d.bc
29,3335.694595,3338.213879,1238.274,11369.606,201875479.190414202002_+20dB.wav,3984.375,4007.812,pulse.mod.bc
30,3342.990626,3344.313664,742.964,9005.629,201875479.190414202002_+20dB.wav,1054.688,937.5,pulse.d.bc
31,3344.120721,3344.853904,810.507,2003.752,201875479.190414202002_+20dB.wav,960.938,937.5,modws.seg
32,3351.995582,3354.3991,900.563,10131.332,201875479.190414202002_+20dB.wav,1054.688,1031.25,pulse.flat.bc
33,3359.286101,3360.250815,1305.816,9185.741,201875479.190414202002_+20dB.wav,1921.875,1757.812,pulse.d
34,3370.468555,3372.22158,720.45,8870.544,201875479.190414202002_+20dB.wav,1757.812,1781.25,pulse.d.bc
35,3409.633955,3412.376502,945.591,10491.557,201875479.190414202002_+20dB.wav,1687.5,1687.5,pulse.d.bc
36,3513.234835,3514.028657,1125.704,2994.371,201875479.190414202002_+20dB.wav,1734.375,1757.812,dws
37,3513.686873,3515.076062,878.049,12000,201875479.190414202002_+20dB.wav,5085.938,1664.062,pulse.a
38,3521.563395,3522.103636,1463.415,9005.629,201875479.190414202002_+20dB.wav,1921.875,1710.938,pulse.d
39,3523.342879,3523.772866,1260.788,10761.726,201875479.190414202002_+20dB.wav,1546.875,1710.938,pulse.d
40,3524.109138,3524.941549,607.88,7924.953,201875479.190414202002_+20dB.wav,843.75,820.312,pulse.flat
41,3525.757422,3526.413428,472.795,2859.287,201875479.190414202002_+20dB.wav,914.062,843.75,pulse.flat
42,3530.007164,3530.536379,652.908,8352.72,201875479.190414202002_+20dB.wav,914.062,890.625,pulse.flat
43,3532.068898,3533.518726,3737.336,6788.927,201875479.190414202002_+20dB.wav,4781.25,4218.75,modws.seg
44,3538.855556,3539.153239,1350.844,7474.672,201875479.190414202002_+20dB.wav,1500,1500,pulse.flat
45,3573.941012,3575.870442,697.936,8532.833,201875479.190414202002_+20dB.wav,1710.938,1710.938,pulse.d.bc
