Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,242.2546764,242.8351837,686.941,927.944,201875479.190322134002_+20dB.wav,796.875,796.875,flatws
2,244.1951314,244.6140932,708.408,901.61,201875479.190322134002_+20dB.wav,796.875,796.875,flatws
3,285.7890716,286.2848796,794.275,991.213,201875479.190322134002_+20dB.wav,890.625,890.625,flatws
4,289.9613906,290.4244537,772.809,966.011,201875479.190322134002_+20dB.wav,890.625,914.062,flatws
5,291.5711344,292.0701389,772.809,966.011,201875479.190322134002_+20dB.wav,843.75,843.75,flatws
6,293.4729526,294.1503068,506.151,1223.199,201875479.190322134002_+20dB.wav,843.75,820.312,modws
7,301.3395755,301.7199487,1373.358,1778.612,201875479.190322135002_+20dB.wav,1617.188,1687.5,dws
8,308.7986614,309.1152083,476.2,1054.482,201875479.190322135002_+20dB.wav,796.875,750,aws
9,368.7127844,369.1262336,590.51,1096.661,201875479.190322135002_+20dB.wav,796.875,820.312,dws
10,421.6829539,422.1278853,1349.736,2045.694,201875479.190322135002_+20dB.wav,1710.938,1734.375,dws
11,516.8582391,517.6137341,5957.895,8878.735,201875479.190322135002_+20dB.wav,7031.25,6773.438,modws.seg
12,523.9828837,524.346719,695.958,991.213,201875479.190322135002_+20dB.wav,843.75,890.625,dws
13,624.3539156,625.2304356,3079.086,4323.374,201875479.190322140002_+20dB.wav,3914.062,4171.875,dws.seg
14,688.2096004,689.3164472,1349.736,6052.724,201875479.190322140002_+20dB.wav,2976.562,3000,pulse.flat
15,717.7871197,718.7518345,1373.358,3106.942,201875479.190322140002_+20dB.wav,2835.938,2953.125,pulse.flat
16,736.3941994,736.8884936,590.51,800,201875479.190322140002_+20dB.wav,703.125,703.125,flatws
17,742.522518,743.1592606,3690.685,4934.974,201875479.190322140002_+20dB.wav,4125,3984.375,modws
18,748.2833058,748.9409552,5947.276,9831.579,201875479.190322140002_+20dB.wav,7406.25,7570.312,modws.seg
19,749.8223789,750.3635778,485.062,1075.571,201875479.190322140002_+20dB.wav,843.75,867.188,dws
20,750.4054771,750.8943018,316.344,1054.482,201875479.190322140002_+20dB.wav,726.562,796.875,dws
21,919.0981128,920.0793656,717.047,12000,201875479.190322141002_+20dB.wav,2296.875,914.062,pulse.flat.seg
22,921.5432572,921.9471734,444.4,2172.232,201875479.190322141002_+20dB.wav,1007.812,1031.25,pulse.d
23,966.9631205,967.8506391,698.4,10401.501,201875479.190322141002_+20dB.wav,1593.75,1593.75,pulse.d
24,973.5198414,973.9332906,738.137,926.316,201875479.190322141002_+20dB.wav,843.75,843.75,flatws
25,975.6863153,976.1218151,757.895,947.368,201875479.190322141002_+20dB.wav,843.75,843.75,flatws
26,976.3257834,977.9705712,822.496,12000,201875479.190322141002_+20dB.wav,3867.188,3585.938,pulse.flat.seg
27,982.4145434,982.805942,1326.316,1515.789,201875479.190322141002_+20dB.wav,1406.25,1406.25,flatws
