Call_type,number
aws,23
aws.seg,6
aws.seq,3
c.5,4
dottrill,2
dws,239
dws.seg,16
dws.seq,59
dws.seq.t,2
flatws,216
flatws.seg,10
modws,98
modws.m,1
modws.m.seg,3
modws.seg,48
modws.seg.t,2
modws.t,5
nws,16
nws.seg,2
nws.seq,1
pulse.a,5
pulse.d,12
pulse.d.bc,1
pulse.d.seg,12
pulse.flat,46
pulse.flat.seg,33
pulse.flat.seg.1,6
pulse.flat.seg.2,9
pulse.flat.seg.3,4
pulse.mod,3
pulse.mod.seg,10
pulse.n,2
rws,5
trill,18
uws,11
uws.seq,7
