Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,326.8117923,327.0790518,1492.007,1641.208,201875479.190104234002_+20dB.wav,1570.312,1570.312,flatws
2,772.9244745,773.4261262,1385.435,1530.957,201875479.190104235002_+20dB.wav,1476.562,1476.562,flatws
3,776.9565733,777.7138085,1513.321,1662.522,201875479.190104235002_+20dB.wav,1617.188,1617.188,flatws.seg
4,984.7877523,985.2728661,1534.636,1705.151,201875479.190105000002_+20dB.wav,1617.188,1617.188,flatws
5,1031.871878,1032.566804,618.117,831.261,201875479.190105000002_+20dB.wav,726.562,726.562,flatws
6,1099.870795,1100.897035,1470.693,1705.151,201875479.190105000002_+20dB.wav,1617.188,1617.188,flatws
7,1135.342167,1135.625828,2003.552,2566.604,201875479.190105000002_+20dB.wav,2320.312,2343.75,dws
8,1135.765026,1136.261605,1705.151,2296.435,201875479.190105000002_+20dB.wav,2109.375,2132.812,dws
9,1184.703411,1185.205994,809.947,1023.091,201875479.190105000002_+20dB.wav,914.062,890.625,flatws
10,1251.536379,1251.729322,1577.265,2116.323,201875479.190105001002_+20dB.wav,1898.438,1921.875,aws
11,1251.823037,1252.401866,1534.636,1747.78,201875479.190105001002_+20dB.wav,1640.625,1664.062,flatws
12,1262.509203,1262.751159,1238.274,2003.552,201875479.190105001002_+20dB.wav,1757.812,1640.625,aws
13,1262.586565,1262.938799,831.261,1012.346,201875479.190105001002_+20dB.wav,937.5,914.062,flatws
14,1262.874606,1263.435035,1513.321,1747.78,201875479.190105001002_+20dB.wav,1664.062,1640.625,flatws
15,1322.337975,1323.343557,1257.549,2003.752,201875479.190105001002_+20dB.wav,1687.5,1640.625,modws
16,1572.666162,1572.919785,1023.091,1621.013,201875479.190105002002_+20dB.wav,1312.5,1265.625,dws
17,1610.353001,1611.054557,852.575,2174.067,201875479.190105002002_+20dB.wav,1523.438,1359.375,dws
18,1668.777922,1669.58277,724.689,959.147,201875479.190105002002_+20dB.wav,867.188,867.188,flatws
