Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,28.19457376,29.1703139,526.316,990.619,134529059.180516001502_+20dB.wav,796.875,726.562,dws
2,65.09748642,65.87862076,885.609,1688.555,134529059.180516001502_+20dB.wav,1054.688,984.375,modws
3,65.9123446,66.7364867,1350.844,1891.683,134529059.180516001502_+20dB.wav,1500,1406.25,dws
4,71.26514418,71.78056135,547.368,1079.1,134529059.180516001502_+20dB.wav,796.875,796.875,dws
5,73.91123998,75.42170778,923.077,1958.724,134529059.180516001502_+20dB.wav,960.938,984.375,dws.seg
6,76.70668088,77.26167073,409.3,863.469,134529059.180516001502_+20dB.wav,656.25,656.25,dws
7,83.81473725,84.77947161,487.085,1062.731,134529059.180516001502_+20dB.wav,984.375,984.375,flatws
8,88.49004652,88.6940148,642.066,1195.572,134529059.180516001502_+20dB.wav,796.875,796.875,dws.seq
9,89.68551279,91.41829746,686.347,1416.974,134529059.180516001502_+20dB.wav,914.062,773.438,dws.seq
10,94.4928148,94.76293495,309.963,619.926,134529059.180516001502_+20dB.wav,562.5,585.938,aws
11,97.69221539,98.07326429,657.531,1033.263,134529059.180516001502_+20dB.wav,914.062,937.5,dws
12,98.91947772,99.22818647,516.632,939.33,134529059.180516001502_+20dB.wav,726.562,750,dws
13,115.074161,115.6973546,315.789,863.469,134529059.180516001502_+20dB.wav,703.125,796.875,dws
14,117.0854496,117.3037396,715.789,1173.432,134529059.180516001502_+20dB.wav,914.062,914.062,dws
15,118.3870648,119.0734482,664.207,929.889,134529059.180516001502_+20dB.wav,820.312,750,flatws
16,121.1978387,121.5330699,309.963,730.627,134529059.180516001502_+20dB.wav,468.75,492.188,dws
17,121.6188267,122.1645518,642.066,1089.3,134529059.180516001502_+20dB.wav,890.625,984.375,dws
18,131.8269502,131.9884195,907.749,1439.114,134529059.180516001502_+20dB.wav,1078.125,1054.688,dws
19,137.6810836,138.0595242,1268.096,1416.974,134529059.180516001502_+20dB.wav,1335.938,1335.938,flatws
20,155.2512673,156.0626503,752.768,1483.395,134529059.180516001502_+20dB.wav,984.375,984.375,dws
21,181.0915059,182.1802555,1328.413,3520.295,134529059.180516001502_+20dB.wav,1406.25,1406.25,dws.seg
22,184.2557706,184.4873021,708.487,885.609,134529059.180516001502_+20dB.wav,820.312,820.312,flatws
23,184.6747325,184.9283146,1350.554,1520.9,134529059.180516001502_+20dB.wav,1429.688,1429.688,flatws
24,189.7987776,190.0413345,400,1316.8,134529059.180516001502_+20dB.wav,656.25,539.062,dws
25,190.3335053,190.6642647,927.4,1483.8,134529059.180516001502_+20dB.wav,1289.062,1312.5,dws
26,194.7779817,194.9966538,686.347,1446.7,134529059.180516001502_+20dB.wav,890.625,843.75,dws.seq
27,195.3315029,195.4679341,296.8,1520.9,134529059.180516001502_+20dB.wav,773.438,890.625,dws
28,195.6745301,196.2592356,853.2,1502.3,134529059.180516001502_+20dB.wav,960.938,960.938,dws.seq
29,201.8081304,201.9128709,708.487,1261.2,134529059.180516001502_+20dB.wav,914.062,890.625,dws
30,202.1664531,202.3097821,642.066,1242.7,134529059.180516001502_+20dB.wav,843.75,890.625,dws
31,202.5302884,202.6350288,704.8,1242.7,134529059.180516001502_+20dB.wav,867.188,867.188,dws
32,202.9161743,203.0175643,642.066,1242.7,134529059.180516001502_+20dB.wav,796.875,750,dws
33,203.541892,204.0821323,509.225,952.03,134529059.180516001502_+20dB.wav,750,750,dws
34,205.9343848,206.7778212,398.524,952.03,134529059.180516001502_+20dB.wav,750,750,dws
35,212.3153156,212.7287648,426.6,1020.1,134529059.180516001502_+20dB.wav,843.75,820.312,dws
36,212.8004377,213.0926085,642.066,819.188,134529059.180516001502_+20dB.wav,726.562,750,flatws
37,224.0650368,224.8241792,509.225,1084.871,134529059.180516001502_+20dB.wav,750,726.562,modws.seg
38,229.577165,230.3709875,553.506,1084.871,134529059.180516001502_+20dB.wav,843.75,750,dws
39,245.7839528,246.6344664,730.627,952.03,134529059.180516001502_+20dB.wav,867.188,914.062,flatws
40,247.4710281,247.7048802,619.926,1084.871,134529059.180516001502_+20dB.wav,937.5,937.5,dws
41,249.6814866,250.6837096,1261.993,3166.052,134529059.180516001502_+20dB.wav,1898.438,1265.625,dws
42,250.0998341,250.5948847,603.12,1328.413,134529059.180516001502_+20dB.wav,796.875,796.875,dws
43,252.9019425,253.8959418,597.786,1078.899,134529059.180516001502_+20dB.wav,773.438,726.562,dws
44,256.716016,258.6814866,1682.657,2014.76,134529059.180516001502_+20dB.wav,1851.562,1851.562,flatws
45,262.3195936,264.4688051,642.066,974.17,134529059.180516001502_+20dB.wav,843.75,914.062,flatws
46,266.0060493,266.2672386,682.2,1084.5,134529059.180516001502_+20dB.wav,890.625,890.625,dws
47,266.1781521,267.0231403,1660.517,1904.059,134529059.180516001502_+20dB.wav,1804.688,1828.125,flatws
48,266.557315,266.9376882,2501.845,2634.686,134529059.180516001502_+20dB.wav,2578.125,2578.125,flatws
49,271.9376311,272.9732616,642.066,1062.731,134529059.180516001502_+20dB.wav,937.5,914.062,flatws
50,276.1493755,276.3864197,647.2,1364.4,134529059.180516001502_+20dB.wav,937.5,937.5,dws
51,281.9447597,282.2534712,664.207,974.17,134529059.180516001502_+20dB.wav,796.875,796.875,flatws
52,283.2193912,284.2557706,597.786,907.749,134529059.180516001502_+20dB.wav,796.875,796.875,flatws
53,288.1670042,289.5878908,631.579,1431.579,134529059.180516001502_+20dB.wav,843.75,914.062,dws.seg
54,294.4732226,294.8318201,623.917,1239.852,134529059.180516001502_+20dB.wav,914.062,796.875,dws
55,296.2210221,297.1967622,642.066,1195.572,134529059.180516001502_+20dB.wav,914.062,890.625,dws.seq
56,298.8290651,299.4059745,708.487,907.749,134529059.180516001502_+20dB.wav,843.75,843.75,flatws
57,309.9812356,310.4332906,686.347,1073.684,134529059.180516003002_+20dB.wav,937.5,937.5,dws
58,313.1346733,313.4621083,354,1211.2,134529059.180516003002_+20dB.wav,750,703.125,dws.seq
59,313.393587,313.8731881,819.9,1453.4,134529059.180516003002_+20dB.wav,1125,1148.438,nws
60,313.889726,314.2627718,298.1,1439.114,134529059.180516003002_+20dB.wav,703.125,703.125,dws.seq
61,320.8327927,321.1056553,597.786,1099.4,134529059.180516003002_+20dB.wav,960.938,960.938,dws
62,321.1017573,321.4252943,730.627,1129.151,134529059.180516003002_+20dB.wav,890.625,937.5,uws
63,321.4564786,321.7371372,819.188,1099.4,134529059.180516003002_+20dB.wav,960.938,937.5,flatws
64,321.7761176,322.1503291,708.1,1080.7,134529059.180516003002_+20dB.wav,937.5,960.938,dws
65,324.2474728,324.7464215,774.908,1084.871,134529059.180516003002_+20dB.wav,960.938,960.938,flatws
66,324.7581156,325.1167349,559,1136.6,134529059.180516003002_+20dB.wav,890.625,960.938,dws
67,335.0383987,336.3325469,633.5,2048.78,134529059.180516003002_+20dB.wav,867.188,726.562,dws.seq
68,336.3312581,336.7806079,708.487,885.609,134529059.180516003002_+20dB.wav,820.312,820.312,flatws
69,342.1404367,343.4309517,465.8,1261.993,134529059.180516003002_+20dB.wav,914.062,750,modws
70,344.7926336,345.3422567,442.804,1221.053,134529059.180516003002_+20dB.wav,937.5,960.938,modws
71,348.3191765,348.6719865,670.8,1043.5,134529059.180516003002_+20dB.wav,914.062,937.5,dws
72,358.8991983,360.5254319,526.316,1431.579,134529059.180516003002_+20dB.wav,820.312,820.312,modws.seg
73,361.427778,362.11686,395.147,3719.557,134529059.180516003002_+20dB.wav,914.062,914.062,pulse.n
74,366.8277133,367.1551484,682.8,1263.2,134529059.180516003002_+20dB.wav,960.938,796.875,dws
75,380.8379029,381.2117771,1173.432,1439.114,134529059.180516003002_+20dB.wav,1265.625,1265.625,flatws
76,387.5556632,388.7960109,652.632,1115.789,134529059.180516003002_+20dB.wav,914.062,960.938,modws
77,398.4650854,399.4904395,800,2484.211,134529059.180516003002_+20dB.wav,984.375,960.938,uws
78,404.0711022,404.8538834,1549.815,2905.263,134529059.180516003002_+20dB.wav,1875,1804.688,dws
79,405.0413137,405.7197112,1571.956,2932.409,134529059.180516003002_+20dB.wav,1804.688,1804.688,dws
80,410.9707642,411.3399926,996.31,1284.133,134529059.180516003002_+20dB.wav,1148.438,1148.438,dws
81,414.747512,415.2105751,811.5,1894.737,134529059.180516003002_+20dB.wav,984.375,960.938,dws.seq
82,417.3388915,418.1852131,1084.871,2523.985,134529059.180516003002_+20dB.wav,1640.625,1382.812,dws
83,419.2807597,419.5926026,464.945,1081.456,134529059.180516003002_+20dB.wav,820.312,843.75,dws
84,423.6974396,424.8277244,708.487,1439.114,134529059.180516003002_+20dB.wav,960.938,960.938,modws.m.seg
85,430.6459354,431.2361334,287.823,1173.432,134529059.180516003002_+20dB.wav,914.062,914.062,dws
86,442.1525564,442.8986558,642.066,929.889,134529059.180516003002_+20dB.wav,843.75,820.312,flatws
87,453.0400764,453.6497112,1616.236,2214.022,134529059.180516003002_+20dB.wav,1898.438,1921.875,aws
88,455.3406697,456.7960109,1373.358,5065.666,134529059.180516003002_+20dB.wav,1640.625,1664.062,pulse.flat
89,456.1717492,456.4329177,374.35,1164.645,134529059.180516003002_+20dB.wav,656.25,867.188,dws
90,460.1462706,461.1986047,3409.594,6885.609,134529059.180516003002_+20dB.wav,4101.562,3515.625,aws
91,461.9057287,462.9357912,1594.096,4450.185,134529059.180516003002_+20dB.wav,2554.688,2507.812,dws
92,465.8463216,466.5701494,1771.218,1904.059,134529059.180516003002_+20dB.wav,1875,1898.438,flatws
93,466.6937903,467.3263409,1638.376,3608.856,134529059.180516003002_+20dB.wav,2601.562,2625,pulse.flat
94,470.3913778,470.7772637,709.3,1341.9,134529059.180516003002_+20dB.wav,984.375,984.375,dws
95,470.7221371,471.1525356,730.627,2147,134529059.180516003002_+20dB.wav,867.188,867.188,dws
96,476.9625046,477.8028795,3660.312,7129.151,134529059.180516003002_+20dB.wav,4664.062,4101.562,aws.seg
97,477.7866373,478.0347068,575.646,1102.253,134529059.180516003002_+20dB.wav,796.875,773.438,dws
98,478.1945738,478.464694,509.225,1123.05,134529059.180516003002_+20dB.wav,773.438,773.438,dws
99,502.1024453,502.6369642,708.487,1416.974,134529059.180516003002_+20dB.wav,914.062,890.625,dws.seq
100,513.6024349,514.4042133,1483.395,1726.937,134529059.180516003002_+20dB.wav,1593.75,1617.188,flatws
101,513.7938017,514.6324974,575.646,797.048,134529059.180516003002_+20dB.wav,679.688,679.688,flatws
102,518.2783787,518.8792582,642.066,797.048,134529059.180516003002_+20dB.wav,750,750,flatws
103,519.7695462,520.7745178,540.338,1157.895,134529059.180516003002_+20dB.wav,750,773.438,dws
104,521.7888465,522.1085806,730.627,929.889,134529059.180516003002_+20dB.wav,820.312,820.312,flatws
105,523.6213616,524.329552,664.207,1571.956,134529059.180516003002_+20dB.wav,960.938,984.375,modws
106,533.7303077,533.9687947,715.789,1062.731,134529059.180516003002_+20dB.wav,914.062,890.625,dws
107,534.1707858,534.7321031,4007.38,5800.738,134529059.180516003002_+20dB.wav,4289.062,4335.938,modws
108,534.2604407,534.5812643,1793.358,2036.9,134529059.180516003002_+20dB.wav,1898.438,1898.438,flatws
109,535.1841315,536.3131064,709.3,1704.797,134529059.180516003002_+20dB.wav,937.5,984.375,modws.seg
110,538.4691958,539.3879002,575.646,1682.657,134529059.180516003002_+20dB.wav,867.188,843.75,modws.seg
111,540.039662,541.5727838,597.786,907.749,134529059.180516003002_+20dB.wav,750,750,flatws
112,542.4573233,542.6834095,555.9,1092.7,134529059.180516003002_+20dB.wav,890.625,890.625,dws
113,558.5649929,559.622895,553.506,885.609,134529059.180516003002_+20dB.wav,773.438,679.688,flatws
114,561.1429332,561.627341,420.664,977.6,134529059.180516003002_+20dB.wav,773.438,750,dws
115,562.1998438,562.8365556,800,1815.498,134529059.180516003002_+20dB.wav,937.5,937.5,modws
116,562.8160359,563.1853839,631.579,4210.526,134529059.180516003002_+20dB.wav,820.312,750,pulse.d
117,573.6439146,574.1701495,1744.4,2191.882,134529059.180516003002_+20dB.wav,1992.188,1968.75,dws
118,575.4895417,576.0469609,273.684,652.632,134529059.180516003002_+20dB.wav,515.625,562.5,dws
119,582.1435142,582.8270836,2757.895,3692.308,134529059.180516003002_+20dB.wav,3164.062,3210.938,modws
120,584.4024243,584.9009691,1350.554,1594.096,134529059.180516003002_+20dB.wav,1429.688,1406.25,flatws
121,584.9598435,585.2054199,797.048,1018.45,134529059.180516003002_+20dB.wav,937.5,937.5,flatws
122,587.5935221,588.0612261,597.786,1505.535,134529059.180516003002_+20dB.wav,726.562,726.562,nws
123,589.1581035,589.5200174,664.207,1682.657,134529059.180516003002_+20dB.wav,1078.125,1007.812,nws
124,591.5907335,592.477718,1831.579,3741.697,134529059.180516003002_+20dB.wav,2437.5,2742.188,dws
125,595.5760622,596.2416221,642.066,841.328,134529059.180516003002_+20dB.wav,750,750,flatws
