file_name,Begin_Time,End_Time,Low_Freq,High_Freq,Center_Freq,Peak_Freq,Call_type,duration,bw
218.enc.11.csv,28.19457376,29.1703139,526.316,990.619,796.875,726.562,dws,0.97574014,464.303
218.enc.11.csv,65.09748642,65.87862076,885.609,1688.555,1054.688,984.375,modws,0.78113434,802.946
218.enc.11.csv,65.9123446,66.7364867,1350.844,1891.683,1500,1406.25,dws,0.8241421,540.839
218.enc.11.csv,71.26514418,71.78056135,547.368,1079.1,796.875,796.875,dws,0.51541717,531.732
218.enc.11.csv,73.91123998,75.42170778,923.077,1958.724,960.938,984.375,dws.seg,1.5104678,1035.647
218.enc.11.csv,76.70668088,77.26167073,409.3,863.469,656.25,656.25,dws,0.55498985,454.169
218.enc.11.csv,83.81473725,84.77947161,487.085,1062.731,984.375,984.375,flatws,0.96473436,575.646
218.enc.11.csv,88.49004652,88.6940148,642.066,1195.572,796.875,796.875,dws.seq,0.20396828,553.506
218.enc.11.csv,89.68551279,91.41829746,686.347,1416.974,914.062,773.438,dws.seq,1.73278467,730.627
218.enc.11.csv,94.4928148,94.76293495,309.963,619.926,562.5,585.938,aws,0.27012015,309.963
218.enc.11.csv,97.69221539,98.07326429,657.531,1033.263,914.062,937.5,dws,0.3810489,375.732
218.enc.11.csv,98.91947772,99.22818647,516.632,939.33,726.562,750,dws,0.30870875,422.698
218.enc.11.csv,115.074161,115.6973546,315.789,863.469,703.125,796.875,dws,0.6231936,547.68
218.enc.11.csv,117.0854496,117.3037396,715.789,1173.432,914.062,914.062,dws,0.21829,457.643
218.enc.11.csv,118.3870648,119.0734482,664.207,929.889,820.312,750,flatws,0.6863834,265.682
218.enc.11.csv,121.1978387,121.5330699,309.963,730.627,468.75,492.188,dws,0.3352312,420.664
218.enc.11.csv,121.6188267,122.1645518,642.066,1089.3,890.625,984.375,dws,0.5457251,447.234
218.enc.11.csv,131.8269502,131.9884195,907.749,1439.114,1078.125,1054.688,dws,0.1614693,531.365
218.enc.11.csv,137.6810836,138.0595242,1268.096,1416.974,1335.938,1335.938,flatws,0.3784406,148.878
